var_x,Intercept,x2,x1,R_2,R_1,R_,pi_c_2,pi_c_1,pi_c_,pi_i_2,pi_i_1,pi_i_,pi_d_2,pi_d_1,pi_d_,dy_2,dy_1,dy_,dc_2,dc_1,dc_,di_2,di_1,di_,dimp_2,dimp_1,dimp_,dex_2,dex_1,dex_,dE_2,dE_1,dE_,dS_2,dS_1,dS_,dw_2,dw_1,dw_,dy_star_2,dy_star_1,dy_star_,pi_star_2,pi_star_1,pi_star_,R_star_2,R_star_1,R_star_,tvar,trvar,ivar,irvar,tcorr,rcorr
tb3m,-0.136071119,0,0.601113648,-1.608726004,0,2.711989636,-0.189287602,-0.221760392,0,0,0.502902777,0,0.111506929,0.082172815,0.04242733,0,0.191230229,0.29449198,0,-0.070167587,0,-0.027328611,-0.072089188,-0.040582076,0,0,0,-0.036973383,0,0,0.00E+00,0,0,0,0,0,0,0.044599569,0.030098226,0.048746414,0.01009286,0,-0.196588639,0,-0.125861762,0.308779115,0,0,4.778973312,2.700341017,0.057021682,0.21353062,3.55E-17,-0.521239589
tb1y,1.076550303,0,0.9,-0.679875804,0,0,-0.275585016,-0.265628256,0,0,0.413761772,0,0.136208261,0.061841161,0.051747982,0,0,0.310568134,0,0,0,0,-0.080058612,-0.056126458,0,0,0.045746131,-0.057225236,0,0,4.36E-01,0,0,-0.024655173,0,0,0,0,0,0.046711348,0,0,-0.349962244,0,-0.363023959,0.204709742,0,0,5.014071209,1.964902603,0.086234289,0.210058293,2.33E-16,-0.411977951
tb2y,-0.094222764,0,0.868396879,-0.870709333,0.89035114,0,-0.27145712,-0.169325119,0,0,0.577386062,0,0.094783811,0.025553397,0,0,0,0.381806352,0,0,0,0,-0.051936875,-0.037475549,0,0,0.052520653,-0.051607922,0,0,0.00E+00,0,0,-0.033325369,0,0,0,0,0.057554432,0.043957838,0,0,-0.339884497,0,-0.278579746,0.336245065,0,0,4.890196397,1.582070154,0.134130149,0.315030187,-9.18E-18,-0.254565227
tb3y,-0.097391943,0,0.781216292,-0.989691099,1.180309224,0,-0.226786657,-0.057811647,0,0,0.38102149,0.169567829,0.052640435,0.018191477,0,0,0.169911372,0.553364937,0,0,0,0,-0.114491611,-0.05417644,0,0,0,0,0,0,0.00E+00,0,0,-0.046170526,0,0,0,0,0.056971927,0.028203561,0,0,-0.35949695,0,-0.102682478,0.425656017,0,0,4.474988335,1.441834169,0.167740961,0.353329587,-2.69E-17,-0.23270488
tb5y,0.141878935,-0.137416364,0.894247624,0.279054826,0,0,-0.271976404,-0.057279118,0,0,0,0.404261607,0.056133572,-0.01353877,0,0,0.102408681,0.479450724,0,0,0,0,-0.086367236,-0.021452594,0,0,0,0,0,0,0.00E+00,0,0,-0.03020943,0,0,0,0,0,0.029336156,0,0,-0.258298489,0,0,0.397834022,0,0,3.656636185,1.204821328,0.173340812,0.31307904,-7.04E-17,-0.160426817
tb7y,0.326489124,-0.183083839,0.911854142,0.30900405,0,0,-0.23380854,-0.217388395,0,0,0,0.405791239,0,0.053984338,0,0,-0.008631862,0.532683707,0,0,0,0,-0.059106144,-0.044565839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044326902,0.043380829,0,0,0,0,0.408244676,0,0,3.134391256,1.02121888,0.166235054,0.200396769,9.97E-17,-0.025968848
tb10y,0.207168884,-0.176030482,0.932691595,0,0,0,-0.071939811,0,0.34537338,0,0,0.295354398,0,0,0,0,0.051068154,0.412668033,0,0,0,0,0,-0.116035236,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0.03194874,0,0,0,0,0,0.399931533,0,0,2.604288915,0.957139755,0.131560033,0.110962961,-9.30E-18,-0.156945763
tb20y,0.303198572,-0.218694134,0.991720341,0,0,0,0,0,0.313228841,0.086328558,0,0.151448273,0,0,0,0,0,0.366239327,0,0,0,0,0,-0.108624096,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0.031594771,0.024102539,0,0,0,0,0.368794459,0,0,2.278362507,0.789322505,0.102716419,0.05883481,2.89E-17,-0.049228433
tb30y,0.53193013,-0.247867819,0.963292251,0,0,0,0,0,0.344717889,0,0,0.159786009,0,0,0,0,0,0.355502339,0,0,0,0,0,-0.105655045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034266737,0.022372586,0,0,0,0,0.392428347,0,0,1.930342641,0.874792236,0.096017109,0.080472749,1.03E-17,-0.196749828
aaaboa,0.118740265,0,0.884452439,1.751466408,-2.420999646,0.815163887,0,0.07870638,0.00E+00,0,0,0.217258827,0,-0.027090925,-0.030041608,0,0,-0.133827308,-0.098461687,-0.124522405,0,0,-0.06329186,0,0.027812944,0.029181842,0,-0.032794019,0,0.035896201,0.00E+00,0.409421029,0,-0.029839363,0,0.03291478,0,0.091033914,-0.044340155,-0.022220613,-0.007443772,0,-0.211026066,0,-0.278049648,0,-0.966243885,1.010373737,0.321735271,0.817833305,0.022123184,0.026361225,1.16E-16,0.239466625
aaboa,-0.030412944,0,0.913161203,1.578769554,-2.066849026,0.56871931,0,0,0,0,0,0,0,-0.001168432,0,0,0,-0.229292408,0,0,0,0,-0.023067094,0,0.038845448,0,0,0,0,0.055063754,-0.009415275,0.257217223,0,0,0,0.04587085,0,0.10067632,-0.030545128,-0.022699022,0,0,-0.156839226,0,-0.300477102,0,0,-0.024363614,0.563164288,1.122937552,0.057518705,0.124485184,-7.67E-17,0.221596555
aboa,0.11046788,-0.291835409,1.118475131,2.524153683,-3.123153422,0.837705141,0,0.004990969,0,0,0,0,0,-0.012112912,0,0,0,-0.383287502,0,0,0,0,-0.018658562,0.087142013,0,0,0,0,0,0.041154057,-2.04E-01,0.247391707,0,0,0,0.064752712,0,0.117056464,-0.111311462,-0.01289352,0,0,-0.036482181,0,-0.430435325,0,-1.450515948,1.421367324,0.824199806,2.068597321,0.060581531,0.141023073,9.49E-17,0.201002069
bbbboa,0.617764792,-0.375586705,1.043691081,0,0,0,0,0,0,0,0,0.335765186,0.140141606,0,0,0,0.18864548,-0.607530949,-0.253547403,0,0,0,-0.119818633,0,0,0.032500918,0,0,0,0,-1.56E-01,0,0.049744294,0,0,0,0,0.194875289,0,-0.02325577,-0.049077432,0,-0.332617183,0,0,0,-0.591567803,0.852616339,1.032582995,2.90521789,0.135818855,0.216403422,1.42E-17,0.308574301
aaadefault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aadefault,0.023591067,0.106059847,0.689897721,0,0.325919931,-0.315077255,0,0,-0.024653962,0.053500909,-0.035379704,0,-0.008244069,0,0.005098626,0,0,-0.003397518,0,0,-0.039089339,0,0.010607833,0.00E+00,0,0.005872558,0.013358871,0,0,-0.006193192,0.00E+00,0,0,0,-0.005270768,0,0,0,0,-0.003296521,0,0.00102873,0,-0.022464961,0,-0.101283941,0.172561966,-0.071832033,0.005436555,0.025235742,0.001264518,0.0052197,-9.65E-18,0.274500581
