Year,Quarter,Recession,R_,pi_c_,pi_i_,pi_d_,dy_,dc_,di_,dimp_,dex_,dE_,m3tb,aa10y,tb10y,tb1y,tb2y,tb3y,tb5y,tb7y,tb20y,tb30y,aaaboa,aaboa,aboa,bbbboa,aaadefault,aadefault,adefault,bbbdefault,sp500,sp500d,spmid,spmidd,spsmall,spsmalld,spdiv,spdivd,pspe,psped,spginfra,spginfrad,oil,gold,reitret,reitinc,reitdiv,ereit,ereitinc,ereitdiv,mreitret,mreitinc,mreitdiv,wage,aa1y,aa2y,aa3y,aa5y,aa7y,aa20y,aa30y,commod
1991,2,0,1.466691304,0.73801073,0.091159642,0.259852896,0.776694733,1.368396227,-0.413707427,NA,NA,1.430979894,5.693,0.89,8.24,6.32,6.9,7.33,7.9,8.14,NA,8.42,NA,NA,NA,NA,0,0,0,0.55,-1.082031072,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.73764646,3.570926473,-0.548773545,2.61,7.883333333,-1.205616856,1.98,7.883333333,0.400125584,3.89,12.71333333,1.347677617,0.88,0.73,0.67,0.78,0.9,NA,1.07,NA
1991,3,0,1.444516443,0.878482956,-0.05192961,0.086467796,0.504024267,1.173072213,-0.917392609,NA,NA,-0.360423543,5.254,1.12,7.47,5.42,5.99,6.28,6.92,7.29,NA,7.82,NA,NA,NA,NA,0,0,0,0.55,4.499402096,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.219844358,-3.651418488,1.597016537,2.33,8.14,1.990245995,2.04,8.14,1.497551429,3.07,12.73333333,0.900714289,1.15,0.93,1,0.91,0.92,NA,1.29,NA
1991,4,0,1.294090413,0.508906951,-0.297259068,0.258955691,0.347892821,0.671317953,-0.35472129,NA,NA,0.248675313,3.958,0.71,6.71,4.12,4.77,5.11,5.93,6.38,NA,7.41,NA,NA,NA,NA,0,0,0,0.55,7.536227538,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.93258427,-0.493096647,1.592712135,2.47,8.14,3.46388309,1.88,8.14,-6.140465106,4.09,12.79333333,0.972871417,0.77,0.7,0.78,0.82,0.7,NA,1.21,NA
1992,1,0,1.002458552,1.010109599,-0.081901393,0.344234419,1.189943662,2.478241272,-0.47380743,NA,NA,-1.491179973,4.144,0.66,7.54,4.54,5.6,6.17,6.94,7.25,NA,7.96,NA,NA,NA,NA,0,0,0,0,-3.212734453,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.775456919,-3.242248336,-1.06678224,2.05,7.703333333,-1.205945555,1.87,7.703333333,1.912657436,2.87,13.07666667,2.04869828,0.64,0.54,0.54,0.55,0.55,NA,1.09,NA
1992,2,0,0.92817906,0.644009381,-0.079838624,1.280427225,1.078516394,1.338648665,3.102959286,2.628025481,-0.101215914,1.962969531,3.648,0.53,7.14,4.05,4.83,5.39,6.29,6.76,NA,7.79,NA,NA,NA,NA,0,0,0,0,1.102334211,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.05746537,0.497512438,-0.099979476,2.28,7.833333333,0.66098304,1.96,7.833333333,-3.00534364,3.06,12.27666667,1.087900623,0.68,0.58,0.6,0.67,0.62,NA,1.05,4.9403909
1992,3,0,0.80921699,0.781531509,0.073453879,-0.254777208,0.98342046,1.701440045,1.591546959,2.619699526,2.200849733,-0.161584107,2.741,0.49,6.37,3.06,3.8,4.34,5.33,5.94,NA,7.38,NA,NA,NA,NA,0,0,0,0,2.366828207,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.045787546,1.63075131,2.787405334,2.1,7.38,4.919276057,1.84,7.38,-5.85890555,3.07,12.7,0.546190118,0.6,0.47,0.47,0.62,0.49,NA,0.83,2.8648325
1992,4,0,0.772012302,0.423729448,0.018089051,0.254777208,1.03776127,1.880354097,2.604406236,2.373795844,1.066613648,0.743673809,3.141,0.54,6.7,3.61,4.56,5.12,6.04,6.43,NA,7.4,NA,NA,NA,NA,0,0,0,0,4.286740908,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.71919377,-4.613180516,1.24946491,2.29,7.2,1.987354942,1.81,7.2,-4.150119255,4.32,12.00666667,1.084372609,0.84,0.63,0.61,0.62,0.67,NA,0.7,-4.2238831
1993,1,0,0.75216414,1.190907245,0.073386693,1.180452156,0.16726035,0.977514276,1.061782725,1.233141881,0.608490902,-1.029137332,2.957,0.56,6.03,3.32,3.96,4.42,5.24,5.72,NA,6.93,NA,NA,NA,NA,0,0,0,0,3.662991974,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.87429451,1.471913488,17.12077245,1.78,6.33,19.80479467,1.62,6.33,8.232422219,2.58,10.82666667,-0.625018215,0.72,0.56,0.53,0.63,0.7,NA,0.54,-1.9599949
1993,2,0,0.737275433,0.555556984,0.078644764,0.167504227,0.580730119,1.575425919,2.024852797,2.932868846,1.02645042,2.316733905,3.08,0.53,5.8,3.45,4.03,4.39,5.05,5.46,NA,6.68,NA,NA,NA,NA,0,0,0,0,-0.252399754,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.925636008,12.03374778,-4.474880926,1.72,6.28,-4.300534756,1.46,6.28,-7.222809588,3.06,10.67,1.011867569,0.65,0.5,0.52,0.54,0.59,NA,0.71,1.2261513
1993,3,0,0.762088713,0.483593343,-0.055257427,-0.924764892,0.476179198,1.540784397,0.747353993,0.689055658,-0.01502799,0.206594089,2.977,0.56,5.4,3.39,3.89,4.24,4.79,5.11,NA,6.04,NA,NA,NA,NA,0,0,0,0,1.864469407,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.531349628,-6.064209275,7.244891088,1.55,6.06,7.847673164,1.41,6.06,5.423472053,2.12,10.20666667,0.277458591,0.52,0.47,0.48,0.55,0.58,NA,0.67,-3.5472734
